text,label
Win free scholarship now,scam
Urgent! Verify your bank account,scam
Click this link to claim prize,scam
Your OTP is required,scam
Limited time offer,scam
Exam timetable updated,safe
School holiday notice,safe
Your class result is published,safe
Meeting scheduled tomorrow,safe
Homework submission reminder,safe
"Send ₹500 to unlock scholarship",scam
"Pay processing fee to get internship",scam
"Urgent payment required to avoid account block",scam
"Transfer money to receive prize",scam
"Send your bank details for verification",scam
"You have won a lottery, pay tax now",scam
"I am selling my old phone",safe
"College fee receipt attached",safe
"Meeting scheduled tomorrow",safe
"Thank you for your help",safe

